title,author,genres,summary
Alice in Wonderland,Lewis Carroll,Fantasy,A young girl named Alice falls down a rabbit hole into a fantastical world full of peculiar creatures and adventures.
The Little Red Riding Hood,Brothers Grimm,Fairy Tale,A young girl in a red cloak encounters a cunning wolf while delivering food to her grandmother in the woods.
Charlie and the Chocolate Factory,Roald Dahl,Fantasy,A poor boy named Charlie wins a golden ticket to tour the magical chocolate factory of eccentric inventor Willy Wonka.
The Wizard of Oz,L. Frank Baum,Fantasy,A young farm girl named Dorothy is transported by a cyclone to the magical land of Oz, where she embarks on an adventure to find her way home.
Peter Pan,J.M. Barrie,Fantasy,A mischievous boy who never grows up takes Wendy and her brothers on adventures to the magical world of Neverland.
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,C.S. Lewis,Fantasy,Four siblings discover a magical wardrobe that leads to the enchanted land of Narnia, where they must help defeat an evil witch.
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,A young orphan boy discovers on his eleventh birthday that he is a wizard and is invited to attend Hogwarts School of Witchcraft and Wizardry.
Matilda,Roald Dahl,Fantasy,A brilliant young girl with telekinetic powers stands up to her cruel parents and headmistress using her extraordinary abilities.
The Secret Garden,Frances Hodgson Burnett,Children's Fiction,An orphaned girl is sent to live with her uncle in a large, mysterious house where she discovers a hidden, neglected garden that she helps restore to life.
Treasure Island,Robert Louis Stevenson,Adventure,A young boy named Jim Hawkins finds a treasure map and embarks on a perilous sea voyage to find buried pirate gold.
The Adventures of Tom Sawyer,Mark Twain,Adventure,A mischievous boy named Tom Sawyer experiences various adventures along the Mississippi River with his friend Huckleberry Finn.
Anne of Green Gables,L.M. Montgomery,Children's Fiction,An imaginative orphan girl is mistakenly sent to live with an elderly brother and sister on Prince Edward Island, where she brings joy and change to their lives.
Heidi,Johanna Spyri,Children's Fiction,A young girl named Heidi is taken from her grandfather in the Swiss Alps to live in the city, but she longs to return to her mountain home.
Black Beauty,Anna Sewell,Children's Fiction,The story of a horse's life, told from the horse's perspective, as he experiences both kindness and cruelty from various owners.
The Jungle Book,Rudyard Kipling,Adventure,A collection of stories about a boy named Mowgli who is raised by wolves in the Indian jungle and learns the ways of the wild.
Winnie-the-Pooh,A.A. Milne,Children's Fiction,The adventures of a bear named Winnie-the-Pooh and his friends in the Hundred Acre Wood.
The Wind in the Willows,Kenneth Grahame,Children's Fiction,The adventures of Mole, Rat, Toad, and Badger as they navigate life along a river and in the countryside.
Mary Poppins,P.L. Travers,Fantasy,A magical nanny named Mary Poppins comes to care for the Banks children and takes them on extraordinary adventures.
The Wonderful Wizard of Oz,L. Frank Baum,Fantasy,A young farm girl named Dorothy is transported by a cyclone to the magical land of Oz, where she embarks on an adventure to find her way home.
